2 3627:53:1 4610:1:1 9271:8:1
9 9246:60:1
33 170:10:2
78 8065:20:1 8649:68:1
81 5208:3:1 9126:12:1
83 634:39:1 4284:25:1
88 3972:22:1
107 971:112:1
111 6385:66:2
119 1188:22:1 1188:21:1 5964:14:1
126 136:104:1
140 6757:2:1
155 8612:61:1
160 2437:10:1 6013:13:1 6451:40:1 6576:13:1
162 1106:63:1 2462:59:1 2779:35:1 4662:35:1 6260:59:1 7812:54:1
164 8087:115:1
172 3972:13:2 3987:6:1 4029:40:1 5333:13:1
182 1662:113:1
187 7488:59:1
207 9233:40:1
210 734:100:1 734:38:1 734:13:1 4698:13:1 9156:23:1
223 3595:31:1
226 633:6:1
227 2797:79:1 6566:71:1
245 8535:15:2
260 4222:8:1 4525:28:3 4525:14:1 4525:11:4 4891:22:1 9419:7:1
295 1646:19:1 6925:36:1
299 8353:6:1
307 3274:62:3 3274:10:1 6201:16:1 6982:56:1
312 3904:74:1
318 3800:40:1
326 6447:27:1
377 5296:108:1
381 4698:119:1
416 6694:87:1
420 3519:0:1 4061:49:1 4610:9:1
432 5815:87:1
437 16:4:1
438 8612:46:1
477 5306:70:1
484 4840:4:1
499 4598:19:1 5198:69:1 5198:65:1
503 2835:31:1 3115:31:1
505 156:82:1 327:36:1 1201:3:1
510 2702:75:1
517 209:0:1 3779:23:1 5754:30:1 8622:4:1
521 6179:46:1
552 3677:56:1 5627:56:1
563 1903:27:1 3364:12:1 9307:40:1
578 1426:105:1
624 5144:85:1
636 2677:34:1 4879:35:1 5332:86:1 5692:55:1 6274:39:1 9528:40:1
642 8205:72:1
643 2136:26:1
666 8053:13:2
695 466:41:2
715 2658:86:2
726 7603:25:2
750 7656:0:1
764 950:3:1 8968:62:1
773 5850:37:1 7577:38:1
776 46:8:1
790 1375:3:1 1895:3:1 1981:3:1 2016:16:1 6997:3:1 8191:3:2
793 4839:33:1 6716:34:1 7917:97:1
795 8079:63:1
797 7509:114:1
816 6156:37:1
817 3800:108:1
833 8594:0:2
844 50:26:1 9334:80:1
872 2038:33:4 8691:13:1
879 891:42:1
