20 2558:33 2558:33 2558:24 2558:24 2558:5 2558:5 7004:23 7004:23
31 3800:121
45 1148:14
53 6440:56
56 1540:87 1540:85 3584:45 4618:87 8612:77 8612:77 8612:73 8612:73 8612:54 8612:54 8612:54 8612:54 8612:54 8612:45 8612:45 8612:45 8612:45 8612:45 8612:45 8612:45 8612:31 8612:31 8612:31 8612:31 8612:31 8612:31 8612:31 8612:26 8612:26 8612:26 8612:26 8612:26 8612:26 8612:26 8612:26 8612:12 8612:12 8612:12 8612:12 8612:12 8612:12 8612:12 8612:12 8612:7 8612:7 8612:7 8612:7 8612:7 8612:7 8612:7 8612:7
65 8000:29
94 2205:15
119 500:116 2367:31 6783:28
130 9108:106
197 992:24 992:24
206 3802:27
213 43:115 43:80 43:60
228 6783:11
235 9354:1
261 5427:97 7525:3 9062:27
262 8659:31
265 8145:32
276 3991:108 3991:108
291 699:29
317 7697:69
325 550:82
348 6537:18
349 4957:35
362 3783:60 4978:63
378 2997:61
392 221:22
393 9182:41
432 6854:122 6854:105 7157:108
433 6447:84 6447:56
448 4594:105
455 731:115 1646:31 2523:31 3800:69
471 1222:60
499 4598:39 4598:32 4598:16 5198:69
524 2056:99
535 3121:55
536 5455:64
563 3364:35 3364:31 3364:12
570 3837:4
587 7241:98
592 242:79
593 6947:35
601 5296:99
627 430:57 2534:57 3493:57 5882:57 8910:57 9379:57
637 291:93 291:61 291:61 291:61 291:61
643 6054:104
662 3952:33
670 2558:21 2558:21 2558:21 2558:21 2558:21
676 9327:79
692 4963:75
705 7004:46
706 4879:8
734 6502:35
737 3960:1 4286:23 7362:62 8968:61
744 486:6
802 6947:0 8031:45
811 2558:54
820 2976:13
834 8041:47
846 3972:50
852 9347:6
861 2367:115
873 9503:33
