19500	2610,7096,11080,17572,18353,19421,20551,27927
29750	12220
38250	2694,10051,11176,11447,14265,18730,20626
42000	13390
47000	23549
64000	12394
65500	5443,6152,14623,15639,29099
69500	2929,15315,17640,18196,18805,25346,28410
83250	6174
140500	14625
145750	3847,11196,24242
154500	5863,8689,10353,12168,12977,18805,21110,25820,28621
154750	11196
200250	9620,12352
232000	7105,7868,21865
239250	28481
266500	10282
267250	679,2367,8313,10690,15549
282500	12055
309750	15365
341000	26754
364250	11679
371250	1547,7620,10106,21110,22889,25596
380000	1773,2128,12329,14174,22094
393250	4949,11176
415500	554,3151,27437
417250	12068
418500	15138,18002
434750	4571,6542,16972,19973,21911,27511
439000	647,1041,2198,3362,3390,6104,7105,7868,11499,12287,16821,18835,24060,24486,25415,26404
448250	15911
452750	141,251,10872,14796,18491,22547,25488
472000	2963,3515,6211,14647,23584,23748,25333
528250	155,2963,8693,12977
563500	7868
567250	11080
573000	7071,16653,18868,19615,19962,23214,26655
599750	9657,20297,20386
620500	6352
621500	2683,3308,16009,19973,20425,24933,29099
650750	17772
691500	7868,12431,12977,22664,26288,27791,28641
711500	4709,11052,14360,17118,26722
725000	1831,2257,14482,20425,25372
731750	3384,7692,9195,11196,15924,29008
745750	1666,3228,4578,4775,7827,24869
746000	155,21865
776750	2128,2963,3228,14777,18388,18730,22359,26006,26699,29084
791500	3627,8738,10329,10810,14712,16606,20297,21050,23424,23492,24831
799000	27791
832250	1831,22963,23143,23782,26670,27791,28859
835000	207,7059,11734,13878,14048,16722,19632,25215,25642
848500	7286,9838,16406,19891,22393,23628,24977
854250	9881
861250	28707
887750	3135,15019,15934,17237,24764,26754,28270
892500	239,2669,3627,3647,11670,17180,18805,23403,23516
965500	25003
969750	2963,14020,17823
981000	4938,4949,4997,8662,8689,11176,11679,12220,12394,14020,14153,26722,27160,29022
984500	2513,18730,19539,20718
1025250	13247
1046250	2257,4571,6621,27791
1063000	15019,22280,28481
1074500	9567
1074750	527,647,679,2257,3699,10171,11080,11904,12220,12747,14580,16550,21865,22556,27092
1086750	1084,7868,18977
1104500	2257,2683,11196,12220,14294,18678,21110,22393,22583
1110750	12426,13883,20578,22499
1118250	2159,8278,13494,14294,14794,24306,26665
1140750	1293,7868,12541,15395,19421,22313,27060
1165500	15423
1173500	5598,5848,7606,8049,8257,15661,15730,20037,20143,24869
1181250	6672,7208,8689,18932,23284,27390
1189000	4949,11176,12175,23612,27615
1194750	83,4059,7400,25366
1240250	2160,5998,8689,12394,20297
1244250	624,1691,2764,4324,7980,27670
1247000	25635
1319000	5797,21849
1324500	5336,6305,7868,8028,14482,27927
1338750	845,993,2966,9620,12410,12586,13450
1365000	13737,14580
1381000	14261,25329
1441500	12033,12670
1459000	26614
1459750	16550,28059
1492500	3627,11679,16540
1525000	2257,9620,11196,11687,24601
1528500	414,3627,5799,7248,12977,18466,21092,22749,23774,23781,28370
1531250	3719,4078,4676,10247,12216,22179,23338,24180
1561250	251,679,2257,3627,12352,13891,17706,17945
1579250	4078,4953,21160,24194,25424
1617250	2217,5077,11329,11951,18002,28463
1620500	5833,12230,23735
1622500	8148,8662,12285,14020,15584,19179,19381,22027,24911,25086
1629250	9120,18024,19891
1661750	10840,15315,28221
1688750	3145,5376,12220,14020
1699500	16716,24715
1710500	7868,14780,28065
1724000	29099
1724250	3228,12977,15269,15672,23198
1727500	4452,7812
1758250	27791,28463
1767500	6690,20180,27977
1782250	155,2568,3237,14788,18024,19374,21110
1792000	6203,12307,13390,16540,20154,23214,23338,23623
1793250	2033,14020,21067,22393
1806750	26394
1812000	7105,7868,11196,16406
1832000	10916,25687
1838750	16818
1904750	23928
1906000	1831,2438,2683,9532,12220,12285,21110,26860
1909250	504,6326,10014,14209,20516,23470,24645
1911500	1047,1073,3228,3627,4479,8689,8868,10872,11196,14261,16110,18730,21815
1953250	647,2610,3658,6096,8313,10176,12394,14020,25289,26722
1966250	2257,3228,3627,6096,6672,7186,9838,11052,11328,16110,18730,25260,26722
1969000	5987,12220,18002
1971500	1739,4411,4479,5315,5834,7096,7469,7624,7654,7692,8385,11000,13701,14917,17550,18712,19166,21715,21919,22043,23019,24070,25329,26860
2033500	1293,3627,4949,5009,8689,11176,11328,11465,12220,12352,20015,28270
2050000	4053,5306,12329,14242,21336,21659,26866,27791
2076000	3390,21841,24886
2078000	14902,17449
2088000	2198,10949,16556,25079
2103250	1831,5458,6724,7567,7822,12394,13592,13737,14902,20661,24325
2138750	14120
2148250	14294
2168250	7868,13494,17732
2182750	1539,5131,18808,19643
2187500	2963,6158,12162,23628,27394
2198750	9250,12220,12394,13054,16550
2200750	2655,12674,14020,16768,18741,24506
2232500	679,911,11000,14261,24929
2251750	22727,23549
2253250	155,527,1031,1591,9220,11196,16722,18575,18730,21067,23525,28189,28975
2316250	679,949,9688,26288
2322750	12754
2331750	953,2436,7179,8628,10584,18805,22126,22359,22732
2364500	21865
2378500	3228,5099,18937,23774
2386250	1008,7061,26754
