19500	2610
19500	7096
19500	11080
19500	17572
19500	18353
19500	19421
19500	20551
19500	27927
29750	12220
38250	2694
38250	10051
38250	11176
38250	11447
38250	14265
38250	18730
38250	20626
42000	13390
47000	23549
64000	12394
65500	5443
65500	6152
65500	14623
65500	15639
65500	29099
69500	2929
69500	15315
69500	17640
69500	18196
69500	18805
69500	25346
69500	28410
83250	6174
140500	14625
145750	3847
145750	11196
145750	24242
154500	5863
154500	8689
154500	10353
154500	12168
154500	12977
154500	18805
154500	21110
154500	25820
154500	28621
154750	11196
200250	9620
200250	12352
232000	7105
232000	7868
232000	21865
239250	28481
266500	10282
267250	679
267250	2367
267250	8313
267250	10690
267250	15549
282500	12055
309750	15365
341000	26754
364250	11679
371250	1547
371250	7620
371250	10106
371250	21110
371250	22889
371250	25596
380000	1773
380000	2128
380000	12329
380000	14174
380000	22094
393250	4949
393250	11176
415500	554
415500	3151
415500	27437
417250	12068
418500	15138
418500	18002
434750	4571
434750	6542
434750	16972
434750	19973
434750	21911
434750	27511
439000	647
439000	1041
439000	2198
439000	3362
439000	3390
439000	6104
439000	7105
439000	7868
439000	11499
439000	12287
439000	16821
439000	18835
439000	24060
439000	24486
439000	25415
439000	26404
448250	15911
452750	141
452750	251
452750	10872
452750	14796
452750	18491
452750	22547
452750	25488
472000	2963
472000	3515
472000	6211
472000	14647
472000	23584
472000	23748
472000	25333
528250	155
528250	2963
528250	8693
528250	12977
563500	7868
567250	11080
573000	7071
573000	16653
573000	18868
573000	19615
573000	19962
573000	23214
573000	26655
599750	9657
599750	20297
599750	20386
620500	6352
621500	2683
621500	3308
621500	16009
621500	19973
621500	20425
621500	24933
621500	29099
650750	17772
691500	7868
691500	12431
691500	12977
691500	22664
691500	26288
691500	27791
691500	28641
711500	4709
711500	11052
711500	14360
711500	17118
711500	26722
725000	1831
725000	2257
725000	14482
725000	20425
725000	25372
731750	3384
731750	7692
731750	9195
731750	11196
731750	15924
731750	29008
745750	1666
745750	3228
745750	4578
745750	4775
745750	7827
745750	24869
746000	155
746000	21865
776750	2128
776750	2963
776750	3228
776750	14777
776750	18388
776750	18730
776750	22359
776750	26006
776750	26699
776750	29084
791500	3627
791500	8738
791500	10329
791500	10810
791500	14712
791500	16606
791500	20297
791500	21050
791500	23424
791500	23492
791500	24831
799000	27791
832250	1831
832250	22963
832250	23143
832250	23782
832250	26670
832250	27791
832250	28859
835000	207
835000	7059
835000	11734
835000	13878
835000	14048
835000	16722
835000	19632
835000	25215
835000	25642
848500	7286
848500	9838
848500	16406
848500	19891
848500	22393
848500	23628
848500	24977
854250	9881
861250	28707
887750	3135
887750	15019
887750	15934
887750	17237
887750	24764
887750	26754
887750	28270
892500	239
892500	2669
892500	3627
892500	3647
892500	11670
892500	17180
892500	18805
892500	23403
892500	23516
