371 2943 1
426 3027 1
440 668 1
165 254 2
687 5809 1
878 2932 10
831 5708 1
600 4879 3
873 2511 2
288 7600 1
357 5322 18
866 3708 3
440 685 1
738 810 3
82 4913 1
55 107 1
469 3595 1
81 9239 1
550 864 6
174 1857 2
330 534 4
110 205 1
797 6010 1
137 5015 1
0 43 2
261 2821 1
852 6097 1
756 3570 1
151 2658 3
866 3740 1
394 7004 9
55 136 1
261 2835 1
517 9528 2
302 5282 2
261 2842 1
742 5952 1
55 150 1
41 2515 1
50 4059 1
27 4879 2
795 4029 1
110 240 5
582 1685 3
469 8267 13
55 161 1
823 1598 1
825 1327 1
522 5637 2
302 5306 14
598 2108 1
41 2531 1
261 2864 1
398 7839 3
577 5727 1
602 7676 3
261 2872 4
550 926 1
453 7930 1
577 5736 1
68 7355 1
866 3794 1
687 5909 8
151 2721 4
233 7613 14
701 3555 17
742 6001 5
68 7368 20
742 6003 1
357 5423 2
275 534 1
673 8286 1
126 608 4
701 3567 1
550 851 1
261 2905 3
577 5767 1
536 3323 20
123 7469 1
334 6087 1
792 6437 4
41 2585 1
192 5199 1
261 2801 5
681 3800 1
550 983 1
467 5627 5
742 6043 2
55 241 1
471 6360 1
527 731 1
346 946 2
672 2243 2
636 608 1
27 4978 1
371 3118 1
343 7844 1
728 8426 3
68 7431 18
715 1261 1
618 8265 1
82 5074 1
151 2797 1
55 271 7
742 6076 2
247 5332 9
233 7697 1
756 3724 1
151 2814 1
440 869 1
742 6092 1
27 5015 1
647 9246 1
815 8015 2
495 962 1
371 3159 1
852 6088 1
27 5031 1
453 8058 1
440 892 1
385 811 2
743 2091 1
330 734 2
518 27 1
687 6043 1
500 564 1
742 6129 2
275 659 1
756 3769 1
687 6051 1
4 5608 1
68 7507 3
756 3781 1
522 5815 4
742 5930 2
247 5413 1
756 3800 2
770 1208 1
123 7613 1
646 3638 9
440 948 1
536 3477 1
371 3229 1
55 370 2
654 3635 63
550 1123 1
729 8956 1
275 712 1
854 8885 1
708 2177 1
27 5109 1
520 2821 4
275 720 4
